device,date,axis,hit_count,axis_present,share_pct,non_rtc_hit_count
EXT_NO_CONTACT_A,2025-08-04,trial_ab,77,1,0.226,77
EXT_NO_CONTACT_A,2025-08-04,cloud_trust,5446,1,15.98,859
EXT_NO_CONTACT_A,2025-08-04,policy_restriction,12,1,0.035,12
EXT_NO_CONTACT_A,2025-08-04,backup_manifest,6779,1,19.891,33
EXT_NO_CONTACT_A,2025-08-04,telecom_wifi_proximity,2884,1,8.462,316
EXT_NO_CONTACT_A,2025-08-04,daemon_seam,297,1,0.871,75
EXT_NO_CONTACT_A,2025-08-04,evidence_pressure,5845,1,17.151,177
EXT_NO_CONTACT_A,2025-08-04,lateral_trust,12692,1,37.242,48
EXT_NO_CONTACT_A,2025-08-04,shadow_cloud_terms,48,1,0.141,48
