device,file_kind,source_file_rows,hit_count
USER_ORIGIN_MINI1,analytics,1,1815
USER_ORIGIN_MINI1,ips_other,2,13
USER_ORIGIN_MINI1,jetsam,4,10
USER_ORIGIN_MINI1,sfa_cloud,2,2
USER_ORIGIN_MINI1,triald_direct,1,294
USER_BRIDGE_15G,analytics,1,17
USER_BRIDGE_15G,ips_other,2,22
USER_BRIDGE_15G,power_session,2,104
USER_BRIDGE_15G,triald_direct,1,8
USER_DEVICE_12G,ips_other,4,8
USER_DEVICE_12G,jetsam,2,6
USER_DEVICE_12G,power_session,2,74
USER_DEVICE_12G,sfa_cloud,4,4
USER_DEVICE_12G,triald_direct,2,164
USER_DEVICE_MINI2,jetsam,3,6
USER_DEVICE_MINI2,power_session,3,51
USER_DEVICE_MINI2,triald_direct,3,99
USER_DEVICE_11PRO,ips_other,2,4
USER_DEVICE_11PRO,power_session,1,26
USER_DEVICE_11PRO,triald_direct,1,527
EXT_NO_CONTACT_A,analytics,1,27
EXT_NO_CONTACT_A,ips_other,1,3
EXT_NO_CONTACT_A,jetsam,1,2
EXT_NO_CONTACT_A,power_session,1,45
EXT_UNCERTAIN_B,analytics,1,71
EXT_UNCERTAIN_B,jetsam,2,4
EXT_UNCERTAIN_B,power_session,1,37
EXT_UNCERTAIN_B,triald_direct,1,116
EXT_REMOTE_GEO_C,analytics,6,13
EXT_REMOTE_GEO_C,ips_other,5,24
EXT_REMOTE_GEO_C,jetsam,6,6
EXT_REMOTE_GEO_C,power_session,1,19
EXT_REMOTE_GEO_C,triald_direct,1,71
EXT_CONTACT_D,analytics,1,21
EXT_CONTACT_D,jetsam,3,10
EXT_CONTACT_D,power_session,2,124
EXT_CONTACT_D,triald_direct,1,173
EXT_CONTACT_E_12PROMAX,ips_other,8,85
EXT_CONTACT_E_12PROMAX,jetsam,19,49
EXT_CONTACT_E_6SPLUS,ips_other,1,6
