device,role,trust_axes_present_4,present_axes,missing_axes,cloud_trust,policy_restriction,lateral_trust,backup_manifest,triald_direct_0804,trust_lineage_verdict
EXT_NO_CONTACT_A,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,4,cloud_trust;policy_restriction;lateral_trust;backup_manifest,,5446,12,12692,6779,NO,B_TRUST_LINEAGE_RAW_ONLY_STRONG_NO_TRIALD_DIRECT
USER_ORIGIN_MINI1,ORIGIN_CORE,4,cloud_trust;policy_restriction;lateral_trust;backup_manifest,,2588,32,890,672,YES,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT
USER_DEVICE_12G,USER_CLUSTER_SUPPORT,4,cloud_trust;policy_restriction;lateral_trust;backup_manifest,,2406,38,96,1810,YES,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT
EXT_CONTACT_E_12PROMAX,EXTERNAL_CONTACT_KNOWN,4,cloud_trust;policy_restriction;lateral_trust;backup_manifest,,7653,168,248,183,NO,B_TRUST_LINEAGE_STRONG_NO_TRIALD_DIRECT
USER_DEVICE_11PRO,USER_CLUSTER_SUPPORT,4,cloud_trust;policy_restriction;lateral_trust;backup_manifest,,832,10,32,911,YES,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT
EXT_UNCERTAIN_B,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,4,cloud_trust;policy_restriction;lateral_trust;backup_manifest,,687,9,78,27,YES,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT
EXT_CONTACT_D,EXTERNAL_CONTACT_KNOWN,4,cloud_trust;policy_restriction;lateral_trust;backup_manifest,,1407,13,43,28,YES,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT
USER_DEVICE_MINI2,USER_CLUSTER_SUPPORT,4,cloud_trust;policy_restriction;lateral_trust;backup_manifest,,1251,21,27,24,YES,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT
EXT_REMOTE_GEO_C,EXTERNAL_GEO_SEPARATED,4,cloud_trust;policy_restriction;lateral_trust;backup_manifest,,96,28,49,98,YES,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT
USER_BRIDGE_15G,BRIDGE_TO_LATER_JOKER,4,cloud_trust;policy_restriction;lateral_trust;backup_manifest,,223,2,27,17,YES,A_TRUST_LINEAGE_STRONG_WITH_TRIALD_DIRECT
EXT_CONTACT_E_6SPLUS,EXTERNAL_CONTACT_KNOWN,4,cloud_trust;policy_restriction;lateral_trust;backup_manifest,,27,10,29,536,NO,B_TRUST_LINEAGE_STRONG_NO_TRIALD_DIRECT
CONTROL_OR_GENERIC_EXTERNAL,GENERIC_EXTERNAL_LABEL_WEAK,0,,cloud_trust;policy_restriction;lateral_trust;backup_manifest,0,0,0,0,NO,E_NO_TRUST_LINEAGE_DECISION
LOW_EXPOSURE_IPAD,USER_CLUSTER_SUPPORT,0,,cloud_trust;policy_restriction;lateral_trust;backup_manifest,0,0,0,0,NO,E_NO_TRUST_LINEAGE_DECISION
