device,role,contact_class,human_contact,device_contact,geo_status,proximity_explanation_strength,cloud_needed_level,notes
USER_ORIGIN_MINI1,ORIGIN_CORE,USER_DEVICE_LOCAL_CONTEXT,SELF,SELF,VN_USER_SIDE,HIGH_FOR_USER_SIDE,LOW_FOR_THIS_DEVICE_ALONE,
USER_BRIDGE_15G,BRIDGE_TO_LATER_JOKER,USER_DEVICE_LOCAL_CONTEXT,SELF,SELF,VN_USER_SIDE,HIGH_FOR_USER_SIDE,LOW_FOR_THIS_DEVICE_ALONE,
USER_DEVICE_12G,USER_CLUSTER_SUPPORT,USER_DEVICE_LOCAL_CONTEXT,SELF,SELF,USER_ECOSYSTEM_SIDE,MEDIUM_HIGH_FOR_USER_DEVICE,LOW_MEDIUM,
USER_DEVICE_MINI2,USER_CLUSTER_SUPPORT,USER_DEVICE_LOCAL_CONTEXT,SELF,SELF,USER_ECOSYSTEM_SIDE,MEDIUM_HIGH_FOR_USER_DEVICE,LOW_MEDIUM,
USER_DEVICE_11PRO,USER_CLUSTER_SUPPORT,USER_DEVICE_LOCAL_CONTEXT,SELF,SELF,USER_ECOSYSTEM_SIDE,MEDIUM_HIGH_FOR_USER_DEVICE,LOW_MEDIUM,
EXT_UNCERTAIN_B,EXTERNAL_CRITICAL_UNCERTAIN_CONTACT,EXTERNAL_UNCERTAIN_OR_NO_DIRECT_CONTACT,UNKNOWN_OR_NO_DIRECT_CONTACT,UNCERTAIN_LOW,UNKNOWN_EXPECTED_EXTERNAL,LOW_MEDIUM_UNCERTAIN,MEDIUM_HIGH,uncertain; expected external and low direct contact
EXT_NO_CONTACT_A,EXTERNAL_CRITICAL_NO_DIRECT_CONTACT,EXTERNAL_NO_HUMAN_CONTACT_NO_DEVICE_CONTACT,NO,NO,EXTERNAL_NO_DIRECT_CONTACT,LOW,HIGH,no human/contact/device contact premise; raw-only critical
EXT_CONTACT_D,EXTERNAL_CONTACT_KNOWN,EXTERNAL_KNOWN_CONTACT_DEVICE_CONTACT_POSSIBLE,YES,YES_OR_POSSIBLE,VN_CONTACT_SIDE,MEDIUM_POSSIBLE,MEDIUM,known human/device contact; physical explanation remains possible
EXT_CONTACT_E_12PROMAX,EXTERNAL_CONTACT_KNOWN,EXTERNAL_KNOWN_CONTACT_DEVICE_CONTACT_POSSIBLE,YES,YES_OR_POSSIBLE,VN_CONTACT_SIDE,MEDIUM_POSSIBLE,MEDIUM,known contact; physical explanation remains possible
EXT_CONTACT_E_6SPLUS,EXTERNAL_CONTACT_KNOWN,EXTERNAL_KNOWN_CONTACT_DEVICE_CONTACT_POSSIBLE,YES,YES_OR_POSSIBLE,VN_CONTACT_SIDE,MEDIUM_POSSIBLE,MEDIUM,known contact; physical explanation remains possible
EXT_REMOTE_GEO_C,EXTERNAL_GEO_SEPARATED,EXTERNAL_REMOTE_GEO_NO_PHYSICAL_DEVICE_CONTACT_AT_TIME,YES_CONTACTABLE,NO_PHYSICAL_AT_2025_0804,TH_WHILE_USER_VN,LOW_FOR_PHYSICAL_PROXIMITY,HIGH,contactable person but physical device contact not possible at 2025-08-04 because TH vs VN premise
CONTROL_OR_GENERIC_EXTERNAL,GENERIC_EXTERNAL_LABEL_WEAK,GENERIC_EXTERNAL_LABEL_NOT_DECISION,UNKNOWN,UNKNOWN,UNKNOWN,NO_DECISION,NO_DECISION,
LOW_EXPOSURE_IPAD,USER_CLUSTER_SUPPORT,LOW_EXPOSURE_OR_NO_CORE_DECISION,SELF_OR_CONTROL,SELF_OR_CONTROL,LOW_EXPOSURE,NO_CORE_DECISION,NO_CORE_DECISION,
