public_alias,role_note,private_original_label
USER_ORIGIN_MINI1,User-side origin/core device in C2025AUG model.,redacted
USER_BRIDGE_15G,User-side bridge device toward later Joker/Shadow Cloud lines; backup-manifest layer weaker in 44.,redacted
USER_DEVICE_12G,"User-side support device, multi-layer supported.",redacted
USER_DEVICE_MINI2,"User-side support device, multi-layer supported.",redacted
USER_DEVICE_11PRO,"User-side support device, multi-layer supported.",redacted
EXT_NO_CONTACT_A,"External no-direct-contact raw-only critical review device; RTCReporting-dominant, not standalone proof.",redacted
EXT_UNCERTAIN_B,External uncertain-contact review device.,redacted
EXT_REMOTE_GEO_C,External geo-separated review device.,redacted
EXT_CONTACT_D,External known-contact device; physical/proximity explanation remains partly possible.,redacted
EXT_CONTACT_E_12PROMAX,External known-contact device; multi-layer supported with weak edge.,redacted
EXT_CONTACT_E_6SPLUS,External known-contact device; context-supported review.,redacted
CONTROL_OR_GENERIC_EXTERNAL,Generic/control-like external label; excluded from final cluster decision.,redacted
LOW_EXPOSURE_IPAD,Low-exposure/control-like iPad label; excluded from final cluster decision.,redacted
